2021/06/03 22:42:21 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginAboutID为必填字段","time":1622731341735419700}
2021/06/03 22:43:58 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginAboutID为必填字段","time":1622731438786996000}
2021/06/03 22:44:00 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginAboutID为必填字段","time":1622731440885741600}
2021/06/03 22:44:20 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: ModuleIntroduction为必填字段,PluginAboutID为必填字段","time":1622731460160068600}
2021/06/03 22:44:54 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 模块已存在","time":1622731494814541400}
2021/06/03 23:04:26 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginAboutName为必填字段","time":1622732666792824800}
2021/06/03 23:07:16 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginAboutName为必填字段","time":1622732836654377000}
2021/06/03 23:11:44 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622733104081036300}
2021/06/03 23:12:15 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622733135236227000}
2021/06/03 23:14:09 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622733249175383200}
